Timestamp,CPU1 (%),CPU2 (%),CPU3 (%),CPU4 (%),GPU (%),Temp SOC0 (°C),Temp CPU (°C),Temp GPU (°C)
2025-04-22 01:08:56,36,29,27,31,11.0,46.281,46.687,47.187
2025-04-22 01:09:06,65,64,62,67,49.8,46.75,47.062,48.187
2025-04-22 01:09:17,80,75,80,78,22.3,47.125,48.562,48.125
2025-04-22 01:09:28,72,79,74,77,31.8,47.468,48.718,48.593
2025-04-22 01:09:39,73,76,80,82,40.6,47.843,49.25,48.781
2025-04-22 01:09:50,62,78,65,60,37.9,47.781,49.031,49.062
2025-04-22 01:10:01,53,51,59,53,47.2,47.781,48.5,49.062
2025-04-22 01:10:12,57,37,40,64,36.4,47.718,48.156,48.562
2025-04-22 01:10:23,47,48,51,62,33.7,47.593,48.312,48.843
2025-04-22 01:10:34,54,55,43,55,18.8,47.468,48.125,48.437
2025-04-22 01:10:45,59,47,53,47,0.0,47.312,47.875,48.75
2025-04-22 01:10:56,52,52,57,59,61.1,47.218,47.937,48.406
2025-04-22 01:11:08,65,59,58,54,13.5,47.156,47.781,48.531
2025-04-22 01:11:19,55,43,54,51,19.6,47.093,47.906,48.093
2025-04-22 01:11:30,50,55,56,37,10.0,47.25,48.031,48.375
2025-04-22 01:11:41,52,39,58,51,0.0,47.093,47.656,48.093
2025-04-22 01:11:52,59,40,54,64,26.0,47.062,47.812,48.125
2025-04-22 01:12:03,39,61,50,54,15.3,47.093,47.562,48.125
2025-04-22 01:12:14,59,48,44,54,23.0,47.093,47.781,48.0
2025-04-22 01:12:25,47,47,51,61,0.0,47.031,47.843,48.062
2025-04-22 01:12:36,53,52,48,44,60.9,47.187,47.437,47.968
2025-04-22 01:12:47,59,39,56,37,0.0,47.0,47.406,48.093
2025-04-22 01:12:58,56,47,44,58,35.1,46.937,47.281,48.187
2025-04-22 01:13:09,66,51,47,41,16.8,46.812,47.375,47.937
2025-04-22 01:13:20,36,52,50,52,28.0,47.031,47.218,47.875
2025-04-22 01:13:31,32,56,48,45,37.8,46.875,47.437,48.25
2025-04-22 01:13:42,64,57,44,53,0.0,47.093,47.343,48.375
2025-04-22 01:13:53,57,48,54,61,0.0,46.937,47.593,47.781
2025-04-22 01:14:04,56,51,39,57,11.3,47.062,47.781,48.0
2025-04-22 01:14:15,58,54,53,59,0.0,46.968,47.437,47.843
2025-04-22 01:14:26,63,36,46,46,0.0,46.968,47.781,48.062
2025-04-22 01:14:37,45,44,44,57,42.6,46.843,47.406,48.125
2025-04-22 01:14:48,42,46,64,46,56.0,46.937,47.656,47.906
2025-04-22 01:14:59,53,52,48,63,24.4,46.843,47.687,48.343
2025-04-22 01:15:10,48,59,51,39,0.0,46.937,47.312,47.875
2025-04-22 01:15:21,63,49,48,49,0.0,46.875,47.375,47.937
2025-04-22 01:15:32,52,49,36,46,0.0,46.906,47.312,48.031
2025-04-22 01:15:43,48,48,40,46,0.0,46.843,47.375,47.812
2025-04-22 01:15:54,54,46,52,52,0.0,46.968,47.625,48.0
2025-04-22 01:16:05,48,39,45,49,0.0,46.875,47.406,48.0
2025-04-22 01:16:16,46,50,55,44,0.0,46.875,47.468,48.031
2025-04-22 01:16:27,63,53,49,43,0.0,47.125,47.562,48.187
2025-04-22 01:16:38,57,54,59,45,0.0,46.843,47.843,48.218
2025-04-22 01:16:49,62,41,32,44,39.5,46.843,47.187,47.812
2025-04-22 01:17:00,66,39,47,40,0.0,46.843,47.343,48.312
2025-04-22 01:17:11,55,45,51,50,0.0,46.937,47.437,47.937
2025-04-22 01:17:22,60,50,51,48,0.0,46.906,47.5,48.031
2025-04-22 01:17:33,67,42,45,38,0.0,46.781,47.312,47.843
2025-04-22 01:17:44,46,57,54,33,0.0,46.843,47.406,48.062
2025-04-22 01:17:55,66,43,61,55,26.9,46.875,47.375,48.062
2025-04-22 01:18:06,63,56,44,52,0.0,46.812,47.468,48.281
2025-04-22 01:18:17,44,63,47,49,0.0,46.75,47.5,47.968
2025-04-22 01:18:28,63,38,44,41,0.0,46.75,47.156,48.187
2025-04-22 01:18:39,51,51,62,46,0.0,46.968,47.281,47.781
2025-04-22 01:18:50,59,43,53,42,1.9,46.906,47.25,48.062
2025-04-22 01:19:01,49,46,44,53,0.0,46.781,47.187,47.812
2025-04-22 01:19:12,46,55,66,41,0.0,46.843,47.937,48.0
2025-04-22 01:19:23,68,63,59,61,0.0,46.718,47.187,48.093
2025-04-22 01:19:34,47,61,35,46,0.0,46.906,47.656,47.906
2025-04-22 01:19:45,50,50,55,57,0.0,46.812,47.562,48.25
2025-04-22 01:19:56,51,42,62,49,0.0,46.687,47.468,47.937
2025-04-22 01:20:07,46,46,64,45,0.0,46.906,47.062,47.843
2025-04-22 01:20:18,55,34,42,63,42.2,46.687,47.218,47.687
2025-04-22 01:20:29,58,48,52,39,0.0,46.812,47.593,48.062
2025-04-22 01:20:40,47,50,47,53,0.0,46.937,47.5,48.156
2025-04-22 01:20:51,57,49,46,37,0.0,46.906,47.062,47.875
2025-04-22 01:21:02,51,53,61,56,0.0,46.718,47.5,48.125
2025-04-22 01:21:13,44,53,55,44,9.4,46.843,47.281,47.843
2025-04-22 01:21:24,48,48,54,52,56.0,46.687,47.593,48.187
2025-04-22 01:21:35,54,53,45,58,62.2,46.75,47.656,47.812
2025-04-22 01:21:46,52,41,58,53,0.0,46.968,47.718,48.125
2025-04-22 01:21:57,64,58,57,43,67.7,46.75,47.406,47.875
2025-04-22 01:22:08,57,57,55,50,0.0,46.875,47.687,48.0
2025-04-22 01:22:19,53,49,49,57,28.8,46.781,47.062,47.812
2025-04-22 01:22:30,55,61,54,59,65.5,46.75,47.468,48.125
2025-04-22 01:22:41,47,58,46,53,0.0,46.656,47.5,47.75
2025-04-22 01:22:52,53,58,45,59,0.0,46.812,47.375,48.125
2025-04-22 01:23:03,39,54,44,63,14.6,46.906,47.437,47.687
2025-04-22 01:23:14,53,47,60,43,23.7,46.812,47.562,47.812
2025-04-22 01:23:25,41,52,35,57,29.2,47.031,47.343,47.937
2025-04-22 01:23:36,57,65,49,42,0.0,46.968,47.343,47.812
2025-04-22 01:23:47,62,63,45,48,0.0,46.875,47.187,48.0
2025-04-22 01:23:58,47,64,42,49,0.0,46.812,47.343,47.718
2025-04-22 01:24:09,48,51,58,53,0.0,46.906,47.593,47.968
2025-04-22 01:24:20,42,54,48,42,0.0,46.781,47.312,47.687
2025-04-22 01:24:31,58,62,43,43,0.0,46.718,47.437,47.781
2025-04-22 01:24:42,47,56,52,67,0.0,46.781,47.562,47.906
2025-04-22 01:24:53,73,61,44,50,0.0,46.781,47.593,47.75
2025-04-22 01:25:04,54,45,44,48,0.0,46.781,47.187,47.843
2025-04-22 01:25:15,55,57,37,40,0.0,46.937,47.437,48.25
2025-04-22 01:25:27,46,53,64,57,0.0,46.75,47.375,47.75
2025-04-22 01:25:37,67,54,50,52,0.0,46.937,47.531,48.125
2025-04-22 01:25:48,46,45,39,42,0.0,46.75,47.062,47.937
2025-04-22 01:26:00,57,38,61,43,0.0,46.875,47.218,47.75
2025-04-22 01:26:11,66,41,48,38,7.5,46.812,47.031,47.812
2025-04-22 01:26:21,56,35,57,36,0.0,46.718,47.312,47.75
2025-04-22 01:26:33,49,52,45,50,0.0,46.875,47.25,47.875
2025-04-22 01:26:44,55,47,37,46,40.5,46.593,47.125,47.781
2025-04-22 01:26:55,55,58,45,33,0.0,46.687,47.718,47.781
2025-04-22 01:27:06,41,51,49,56,0.0,46.75,47.281,47.781
2025-04-22 01:27:17,57,47,51,48,8.5,46.687,47.093,47.843
2025-04-22 01:27:28,69,44,46,53,0.0,46.781,47.312,48.062
2025-04-22 01:27:39,51,52,55,54,0.0,46.718,47.531,47.718
2025-04-22 01:27:50,55,48,50,56,61.3,46.656,47.25,47.687
2025-04-22 01:28:01,51,54,47,57,0.0,46.718,47.125,47.781
2025-04-22 01:28:12,46,45,69,42,0.0,46.812,47.25,47.656
2025-04-22 01:28:23,45,53,55,59,0.0,46.687,47.125,48.093
2025-04-22 01:28:34,59,39,36,43,0.0,46.781,47.125,48.062
2025-04-22 01:28:45,52,59,52,58,60.5,46.906,47.25,48.0
2025-04-22 01:28:56,52,48,51,60,10.3,46.656,47.656,47.75
2025-04-22 01:29:07,54,42,46,51,0.0,46.812,47.093,47.625
2025-04-22 01:29:18,50,59,45,66,40.0,46.718,47.312,47.875
2025-04-22 01:29:29,45,55,53,57,0.0,46.843,47.093,47.937
2025-04-22 01:29:40,58,46,59,56,55.3,46.687,47.5,47.718
2025-04-22 01:29:51,66,48,56,60,7.7,46.687,47.218,47.625
2025-04-22 01:30:02,60,62,39,43,0.0,46.656,47.437,47.937
2025-04-22 01:30:13,51,60,61,61,0.0,46.906,47.218,47.812
2025-04-22 01:30:24,71,64,65,63,33.6,46.718,47.5,47.906
2025-04-22 01:30:35,52,49,55,66,57.3,46.625,47.062,48.031
2025-04-22 01:30:46,47,28,36,66,0.0,46.75,46.937,47.812
2025-04-22 01:30:57,52,54,65,46,22.4,46.687,47.312,47.656
2025-04-22 01:31:08,55,40,45,58,37.1,46.75,47.031,47.968
2025-04-22 01:31:19,57,40,50,63,0.0,46.687,47.343,47.593
2025-04-22 01:31:30,49,52,45,68,48.2,46.656,47.218,47.812
2025-04-22 01:31:41,46,52,47,67,31.1,46.656,47.656,47.968
2025-04-22 01:31:52,63,56,36,45,55.5,46.906,47.312,47.968
2025-04-22 01:32:03,46,61,47,53,29.8,46.781,47.062,47.625
2025-04-22 01:32:14,48,60,47,62,31.1,46.593,47.031,48.062
2025-04-22 01:32:25,61,62,41,52,8.7,46.812,47.343,48.062
2025-04-22 01:32:36,49,54,47,53,32.7,46.656,47.093,47.812
2025-04-22 01:32:47,55,53,65,70,58.7,46.812,46.968,47.718
2025-04-22 01:32:58,64,57,66,67,0.0,46.812,46.968,47.656
2025-04-22 01:33:09,63,43,57,53,55.5,46.656,46.937,47.625
2025-04-22 01:33:20,49,55,43,46,8.0,46.593,47.125,47.718
2025-04-22 01:33:31,57,54,50,44,57.7,46.593,46.968,47.781
2025-04-22 01:33:42,52,48,47,52,40.0,46.656,46.781,47.5
2025-04-22 01:33:53,55,52,55,48,63.2,46.687,47.187,47.531
2025-04-22 01:34:04,52,59,50,46,34.2,46.593,47.375,47.625
2025-04-22 01:34:15,45,54,57,61,65.9,46.593,47.062,47.562
2025-04-22 01:34:26,62,52,56,37,0.0,46.781,47.281,47.562
2025-04-22 01:34:37,45,55,53,59,10.1,46.625,47.125,47.906
2025-04-22 01:34:48,49,48,58,45,0.0,46.718,47.062,47.593
